dataset,rows_used,dimensions,algorithm,k,silhouette_score,davies_bouldin_index,cluster_compactness,cluster_separation_min,cluster_separation_mean,runtime_seconds
original_28d,200000,28,minibatch,2,0.18151396987274618,2.79339103679423,4.899934467529455,3.742574598799661,3.742574598799661,1.6560380999580957
pca_2d,200000,2,minibatch,2,0.35167384603652796,1.1369268504775574,0.9275888191894538,1.6298648087676046,1.6298648087676046,0.04036789998644963
pca_5d,200000,5,minibatch,2,0.18539014739867532,2.0516404021707104,1.8528981768940458,1.7724389975617287,1.7724389975617287,0.07387999998172745
pca_10d,200000,10,minibatch,2,0.09626712972474764,3.0828209570294685,2.8701757186037646,1.8031126424460528,1.8031126424460528,0.10694960004184395
