dataset,rows_used,dimensions,algorithm,k,silhouette_score,davies_bouldin_index,cluster_compactness,cluster_separation_min,cluster_separation_mean,runtime_seconds
original_28d,1000000,28,minibatch,2,0.11173981390285782,3.279755980284004,4.905141336837452,2.783782955548896,2.783782955548896,2.0530796999810264
pca_2d,1000000,2,minibatch,2,0.3458800438997662,1.1287943508769163,0.9286892559257118,1.635280790946688,1.635280790946688,0.17069609998725355
pca_5d,1000000,5,minibatch,2,0.18778750641465006,2.048314682904202,1.8504357784702274,1.793718061932304,1.793718061932304,0.2964126000297256
pca_10d,1000000,10,minibatch,2,0.08138177140186119,3.371526534309459,2.89108347086989,1.6730390400147852,1.6730390400147852,0.28052829997614026
